hour,AUC,Accuracy,Acc_class_0,Acc_class_1,Acc_class_2
6,0.6713083213083213,0.3435897435897436,0.27999999999999997,0.37142857142857133,0.5
7,0.6734731089016803,0.4828571428571428,0.36,0.5392857142857143,0.6
8,0.6489021672771672,0.4058333333333334,0.2,0.525,0.5
9,0.7359649404093849,0.5281045751633987,0.6,0.4638888888888889,0.5666666666666667
10,0.7307238594738595,0.5463157894736842,0.6321428571428571,0.49111111111111116,0.5333333333333333
11,0.6656262629508244,0.47186147186147187,0.7678571428571429,0.3,0.31666666666666665
12,0.7247208000333,0.45,0.625,0.37435897435897436,0.3333333333333333
13,0.7374906223322513,0.5661538461538462,0.37777777777777777,0.7384615384615385,0.4333333333333333
14,0.7684134005344412,0.6282051282051283,0.6599999999999999,0.576923076923077,0.7
15,0.7622955644573292,0.5059113300492611,0.6,0.3846153846153846,0.65
16,0.8007506953735023,0.6133333333333333,0.7121212121212122,0.5,0.71
17,0.7732268302225777,0.5863636363636363,0.6974358974358974,0.44749999999999995,0.74
18,0.7677275752132073,0.6067736185383245,0.7538461538461538,0.48916666666666664,0.5900000000000001
19,0.7514174960929563,0.5465546218487395,0.6395604395604395,0.4625,0.5733333333333334
20,0.7764814018643823,0.583933933933934,0.680952380952381,0.513235294117647,0.5733333333333334
21,0.7448944854550829,0.48677098150782366,0.6923809523809524,0.30196078431372547,0.5333333333333334
22,0.781476571268238,0.5971659919028339,0.7571428571428571,0.4620915032679738,0.6095238095238096
23,0.7810109301774936,0.6028205128205129,0.6742857142857142,0.5181286549707602,0.6904761904761905
24,0.764453020663547,0.5640243902439025,0.7866666666666667,0.37017543859649116,0.6095238095238095
25,0.7616585182962892,0.5737804878048781,0.7333333333333332,0.38070175438596493,0.7619047619047619
26,0.751975530127381,0.5559756097560976,0.7916666666666667,0.32046783625730996,0.6904761904761905
27,0.7881565647547417,0.594425087108014,0.7008333333333333,0.5178947368421053,0.580952380952381
28,0.7720752841763889,0.6044134727061558,0.7308333333333333,0.4552631578947368,0.7619047619047619
29,0.7682279362849902,0.60267131242741,0.7791666666666667,0.4542105263157895,0.6238095238095238
30,0.7329744035774055,0.5301218161683279,0.6066666666666667,0.42000000000000004,0.6714285714285715
31,0.7684013879303735,0.5627906976744187,0.7875,0.33999999999999997,0.6857142857142857
32,0.7727842956828466,0.5488372093023257,0.675,0.37,0.7714285714285715
33,0.7731163863900438,0.6112050739957717,0.7007352941176471,0.4800000000000001,0.7714285714285714
34,0.759378095060107,0.5603594080338267,0.6661764705882354,0.47000000000000003,0.5714285714285714
35,0.7669297185841304,0.5758985200845667,0.7264705882352941,0.42000000000000004,0.6714285714285715
36,0.7572911982284318,0.5760042283298098,0.6786764705882353,0.45,0.7000000000000001
37,0.7774890125785267,0.5806553911205075,0.6911764705882353,0.45,0.6928571428571428
38,0.7793289152171293,0.5874207188160676,0.6786764705882353,0.4552380952380952,0.7464285714285714
39,0.7698863980897228,0.5571881606765328,0.7419117647058824,0.4057142857142857,0.5678571428571428
40,0.7708603547067955,0.5528541226215644,0.5911764705882353,0.5219047619047619,0.5357142857142858
41,0.7629938298455563,0.5471717171717171,0.6882352941176471,0.41761904761904767,0.5892857142857142
42,0.7642426930045084,0.5791919191919191,0.7147058823529411,0.4442857142857143,0.65
43,0.7609891720175697,0.5688888888888889,0.7044117647058823,0.4319047619047619,0.6388888888888888
44,0.7805010805780357,0.5947826086956521,0.7661764705882353,0.468095238095238,0.5944444444444444
45,0.7677513833368163,0.5852173913043479,0.7308823529411764,0.41380952380952385,0.7194444444444444
46,0.7629333376301722,0.5677294685990338,0.6360294117647058,0.5285714285714286,0.525
47,0.7875616559967206,0.5852173913043478,0.6845588235294118,0.48142857142857143,0.6472222222222223
48,0.7917076159327147,0.6120259019426457,0.7227941176470589,0.5428571428571428,0.5694444444444444
49,0.7664583030364763,0.5966697502312673,0.65,0.5238095238095238,0.6666666666666666
50,0.8097506474901112,0.6495837187789084,0.7235294117647059,0.5619047619047619,0.7155555555555556
51,0.793446582713985,0.6198889916743756,0.7080882352941177,0.5238095238095237,0.671111111111111
52,0.7888822593715676,0.5933510638297873,0.7220588235294118,0.5142857142857142,0.5444444444444444
53,0.7897642022950233,0.6203014184397164,0.6661764705882354,0.5952380952380952,0.6044444444444443
54,0.8083990302568317,0.6245567375886525,0.7830882352941176,0.4809523809523809,0.6688888888888889
55,0.8117950350137452,0.6459219858156029,0.6419117647058823,0.6238095238095238,0.7066666666666667
56,0.8002417584604521,0.6371453900709221,0.8073529411764706,0.4532467532467532,0.7511111111111111
57,0.8370883449150913,0.6568262411347519,0.7338235294117647,0.561038961038961,0.7377777777777778
